Source,Target,Weight
5uppps,BadBoyHalo,8
5uppps,CORPSE,4
5uppps,ConnorEatsPants,7
5uppps,Corpse_Husband,7
5uppps,CptPuffy,7
5uppps,Dream,10
5uppps,Dream__Fanart,5
5uppps,Eret,5
5uppps,FundyLive,8
5uppps,GeorgeNootFound,9
5uppps,GeorgeNotFound,13
5uppps,JackManifoldTV,9
5uppps,Jacksepticeye,3
5uppps,JustaMinx,8
5uppps,KEEMSTAR,3
5uppps,KarlJacobs_,8
5uppps,LVJYonline,4
5uppps,LilNasX,3
5uppps,MCChampionship_,10
5uppps,Minecraft,8
5uppps,MrBeast,7
5uppps,Nihaachu,9
5uppps,Ninja,3
5uppps,NotAntfrost,7
5uppps,Ph1LzA,12
5uppps,Punztw,10
5uppps,Quackity,9
5uppps,Ranboosaysstuff,13
5uppps,Skeppy,5
5uppps,Slimecicle,7
5uppps,Smajor1995,8
5uppps,Sneegsnag,6
5uppps,Spifeyy,5
5uppps,TapLHarV,7
5uppps,Technothepig,7
5uppps,TubboLive,13
5uppps,TubboTWO,6
5uppps,Twitch,3
5uppps,Twitter,3
5uppps,VelvetIsCake,7
5uppps,WilburSoot,10
5uppps,aimseytv,4
5uppps,bearbubb,3
5uppps,cupTWOst,4
5uppps,cuptoast,4
5uppps,discord,5
5uppps,dreamhangout,4
5uppps,dreamsecretclub,4
5uppps,dreamwastaken,12
5uppps,dreamwastaken2,4
5uppps,honkkarl,7
5uppps,jschlatt,6
5uppps,nathansmokee,4
5uppps,pleasedshibe1,7
5uppps,pokimanelol,6
5uppps,ppredictors,3
5uppps,quackity4k,9
5uppps,ranaltboo,11
5uppps,sapnap,8
5uppps,sapnapalt,10
5uppps,smpupdate,5
5uppps,sniffalt,5
5uppps,snifferish,5
5uppps,tommyaltinnit,9
5uppps,tommyinnit,13
5uppps,youtooz,7
8lairrr,CrankGameplays,3
8lairrr,CreateTeen,10
8lairrr,Dream,3
8lairrr,GarrettG,3
8lairrr,Hannahiku,7
8lairrr,JustaMinx,3
8lairrr,MCChampionship_,3
8lairrr,Minecraft,4
8lairrr,MrBeast,5
8lairrr,ProbablyKaz,4
8lairrr,RLEsports,3
8lairrr,ShquareSMP,10
8lairrr,SquidGameEvent,4
8lairrr,Technothepig,4
8lairrr,Twitch,3
8lairrr,WilburSoot,3
8lairrr,YouTube,3
8lairrr,dreamwastaken,6
8lairrr,hannahm130,7
8lairrr,markiplier,3
8lairrr,nebbiiee,14
8lairrr,pleasedshibe1,18
8lairrr,sapnap,3
8lairrr,spoon_ahhh,8
8lairrr,willcreated,3
8lairrr,youtooz,3
BadBoyHalo,CORPSE,9
BadBoyHalo,CallMeCarsonYT,6
BadBoyHalo,ConnorEatsPants,11
BadBoyHalo,Corpse_Husband,17
BadBoyHalo,CptPuffy,20
BadBoyHalo,CrankGameplays,7
BadBoyHalo,Dream,34
BadBoyHalo,Dream__Fanart,10
BadBoyHalo,Eret,8
BadBoyHalo,FundyLive,17
BadBoyHalo,Gav1nLIVE,3
BadBoyHalo,GeorgeNootFound,31
BadBoyHalo,GeorgeNotFound,31
BadBoyHalo,Hannahiku,4
BadBoyHalo,IGN,4
BadBoyHalo,JackManifoldTV,19
BadBoyHalo,Jacksepticeye,7
BadBoyHalo,JustaMinx,12
BadBoyHalo,KarlJacobs_,29
BadBoyHalo,LVJYonline,9
BadBoyHalo,LilNasX,4
BadBoyHalo,MCChampionship_,29
BadBoyHalo,Minecraft,14
BadBoyHalo,MrBeast,24
BadBoyHalo,Nihaachu,25
BadBoyHalo,Ninja,5
BadBoyHalo,NotAntfrost,16
BadBoyHalo,Ph1LzA,22
BadBoyHalo,Pikaclicks,7
BadBoyHalo,PlanetDuckk,8
BadBoyHalo,ProbablyKaz,3
BadBoyHalo,Punztw,17
BadBoyHalo,Quackity,30
BadBoyHalo,Ranboosaysstuff,30
